dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 58, 0.0928, true, 0.2432, 0.6974663062177439, 0.7568, 0.725922289517471, 0.7744807121661721, 9, 0.0144, 0.7376, 1.0, 2.3536, 0.5884, 0.2624
balance-scale, 625, 4, ODRI_T, 59, 0.0944, false, 0.2304, 0.6791604803289993, 0.7414721723518851, 0.70874775252171, 0.7304525851480513, 8, 0.0128, 0.7168, 0.9584, 2.4368, 0.6092, 0.2416
balance-scale, 625, 4, ODRI_T, 59, 0.0944, true, 0.264, 0.6784787014264634, 0.736, 0.7059393422979631, 0.755192878338279, 9, 0.0144, 0.7376, 1.0, 2.3536, 0.5884, 0.2624
balance-scale, 625, 4, ODRI_T, 60, 0.096, false, 0.2384, 0.6745215164231582, 0.7358156028368794, 0.7038142515718414, 0.7289507808462702, 8, 0.0128, 0.7168, 0.9584, 2.3424, 0.5856, 0.2416
balance-scale, 625, 4, ODRI_T, 60, 0.096, true, 0.2656, 0.6768174002089008, 0.7344, 0.7044298637263656, 0.7537091988130563, 9, 0.0144, 0.7376, 1.0, 2.2592, 0.5648, 0.2624
balance-scale, 625, 4, ODRI_T, 61, 0.0976, false, 0.2352, 0.6775371810513237, 0.7379679144385026, 0.7063596252063342, 0.7298453916455531, 7, 0.0112, 0.6912, 0.8816, 2.3328, 0.5832, 0.1904
balance-scale, 625, 4, ODRI_T, 61, 0.0976, true, 0.2704, 0.6724010813467683, 0.7296, 0.6998332911813644, 0.7492581602373887, 8, 0.0128, 0.7664, 1.0, 2.032, 0.508, 0.2336
balance-scale, 625, 4, ODRI_T, 62, 0.0992, false, 0.2208, 0.7029878684605407, 0.759581881533101, 0.7297165116671365, 0.7553811923372519, 7, 0.0112, 0.6912, 0.8816, 2.3328, 0.5832, 0.1904
balance-scale, 625, 4, ODRI_T, 62, 0.0992, true, 0.2528, 0.688822110511521, 0.7472, 0.7164903151340943, 0.7655786350148368, 8, 0.0128, 0.7664, 1.0, 2.032, 0.508, 0.2336
balance-scale, 625, 4, ODRI_T, 63, 0.1008, false, 0.2272, 0.6986280468197311, 0.7568493150684932, 0.7264189841095962, 0.7568846886587717, 7, 0.0112, 0.6912, 0.8816, 2.3328, 0.5832, 0.1904
balance-scale, 625, 4, ODRI_T, 63, 0.1008, true, 0.248, 0.6930885245901639, 0.752, 0.7212397266353066, 0.7700296735905044, 8, 0.0128, 0.7664, 1.0, 2.032, 0.508, 0.2336
balance-scale, 625, 4, ODRI_T, 64, 0.1024, false, 0.2512, 0.6864477434197773, 0.7396351575456053, 0.7096527734827656, 0.7500536610414245, 7, 0.0112, 0.6912, 0.8816, 2.3328, 0.5832, 0.1904
balance-scale, 625, 4, ODRI_T, 64, 0.1024, true, 0.2624, 0.6823990062111801, 0.7376, 0.7070024163940992, 0.7566765578635015, 8, 0.0128, 0.7664, 1.0, 2.032, 0.508, 0.2336
balance-scale, 625, 4, ODRI_T, 65, 0.104, false, 0.2768, 0.6712944186629877, 0.7232, 0.6927213518487536, 0.7433234421364985, 7, 0.0112, 0.6912, 0.8816, 2.3328, 0.5832, 0.1904
balance-scale, 625, 4, ODRI_T, 65, 0.104, true, 0.2768, 0.6712944186629877, 0.7232, 0.6927213518487536, 0.7433234421364985, 8, 0.0128, 0.7664, 1.0, 2.032, 0.508, 0.2336
balance-scale, 625, 4, ODRI_T, 66, 0.1056, false, 0.2816, 0.663069547358909, 0.7184, 0.689146191247974, 0.738872403560831, 7, 0.0112, 0.7008, 0.8992, 2.2096, 0.5524, 0.1984
balance-scale, 625, 4, ODRI_T, 66, 0.1056, true, 0.2816, 0.663069547358909, 0.7184, 0.689146191247974, 0.738872403560831, 8, 0.0128, 0.7664, 1.0, 1.9472, 0.4868, 0.2336
balance-scale, 625, 4, ODRI_T, 67, 0.1072, false, 0.2928, 0.6542385527239685, 0.7072, 0.6782720668838316, 0.7284866468842731, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 67, 0.1072, true, 0.2928, 0.6542385527239685, 0.7072, 0.6782720668838316, 0.7284866468842731, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 68, 0.1088, false, 0.2912, 0.6488486967226152, 0.7035830618892508, 0.675020678434589, 0.7212241081007935, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 68, 0.1088, true, 0.2976, 0.6474295686370899, 0.7024, 0.6737743818429898, 0.7240356083086054, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 69, 0.1104, false, 0.2784, 0.6564933721094882, 0.7128712871287128, 0.683513004110992, 0.7265260897998801, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 69, 0.1104, true, 0.2832, 0.6607187907091066, 0.7168, 0.6875962860660921, 0.7373887240356084, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 70, 0.112, false, 0.248, 0.6790450393755478, 0.7377326565143824, 0.7071549094110925, 0.7425582411856494, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 70, 0.112, true, 0.264, 0.6782968821105713, 0.736, 0.7058084247316302, 0.755192878338279, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 71, 0.1136, false, 0.224, 0.6871122934952721, 0.7477477477477478, 0.7161018306269703, 0.7355974761853842, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 71, 0.1136, true, 0.2576, 0.6843010329562222, 0.7424, 0.7120360005325523, 0.761127596439169, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 72, 0.1152, false, 0.2512, 0.6669573990941811, 0.7231040564373897, 0.6938800335464095, 0.7209235301745468, 7, 0.0112, 0.7104, 0.9376, 2.2784, 0.5696, 0.2272
balance-scale, 625, 4, ODRI_T, 72, 0.1152, true, 0.2784, 0.6650274056777682, 0.7216, 0.6921379879530101, 0.7418397626112759, 8, 0.0128, 0.76, 1.0, 2.08, 0.52, 0.24
balance-scale, 625, 4, ODRI_T, 73, 0.1168, false, 0.256, 0.6641365828472736, 0.7207678883071553, 0.691282099659063, 0.7210003425812284, 7, 0.0112, 0.7456, 1.0, 2.1728, 0.5432, 0.2544
balance-scale, 625, 4, ODRI_T, 73, 0.1168, true, 0.2896, 0.6547979515752386, 0.7104, 0.6814314182705641, 0.731454005934718, 7, 0.0112, 0.7456, 1.0, 2.1728, 0.5432, 0.2544
