dataset, numInstances, numAttributes, classifier, minOcc, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
contact-lenses, 24, 4, ODRI_T, 15, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 15, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 16, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 16, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 17, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 17, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 18, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 18, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 19, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 19, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 20, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 20, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 21, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 21, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 22, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 22, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 23, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 23, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
